127.0.0.1 - - [21/Feb/2023:14:41:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:41:56 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:41:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:42:32 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:46:50 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:47:42 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:49:36 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:50:45 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:51:00 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?age=15 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [21/Feb/2023:14:58:37 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorTryCatch.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:04:53 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:06:22 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 500 339
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:09:40 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:09:54 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?name=%27%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:10:05 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?name=%27%ED%99%8D%EA%B8%B8%EB%8F%99%27 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:10:20 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp?name=%EA%B5%AC%EB%AF%BC%EC%A7%80 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:14:11 +0900] "GET /MustHaveJSP/01DirectiveScript/TrimWhitespace.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:14:26 +0900] "GET /MustHaveJSP/01DirectiveScript/TrimWhitespace.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:14:53 +0900] "GET /MustHaveJSP/01DirectiveScript/IsErrorPage.jsp HTTP/1.1" 500 2634
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:15:36 +0900] "GET /MustHaveJSP/01DirectiveScript/Error500.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:17:15 +0900] "GET /MustHaveJSP/01DirectiveScript/TrimWhitespace.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:21:29 +0900] "GET /MustHaveJSP/01DirectiveScript/AutoFlushTest.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:21:57 +0900] "GET /MustHaveJSP/01DirectiveScript/AutoFlushTest.jsp HTTP/1.1" 500 2748
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:22:40 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 500 339
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:30:34 +0900] "GET /MustHaveJSP/01DirectiveScript/IncludeMain.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:39:41 +0900] "GET /MustHaveJSP/01DirectiveScript/ScriptElements.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:45:42 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorTryCatch.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:47:19 +0900] "GET /MustHaveJSP/01DirectiveScript/ErrorPage.jsp HTTP/1.1" 500 339
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:47:56 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:48:28 +0900] "GET /MustHaveJSP/01DirectiveScript/TrimWhitespace.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:48:41 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:49:38 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:49:55 +0900] "GET /MustHaveJSP/01DirectiveScript/Import.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [21/Feb/2023:15:50:27 +0900] "GET /MustHaveJSP/01DirectiveScript/AutoFlushTest.jsp HTTP/1.1" 500 2748
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:37:36 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestMain.jsp HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:44:18 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestMain.jsp HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:44:20 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:44:29 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:44:45 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:56:53 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestHeader.jsp HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:56:58 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp?eng=Hello&han=%EC%95%88%EB%85%95 HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:57:00 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestWebInfo.jsp HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:57:06 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestParameter.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:57:13 +0900] "POST /MustHaveJSP/02ImplicitObject/RequestParameter.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [21/Feb/2023:16:57:16 +0900] "GET /MustHaveJSP/02ImplicitObject/RequestHeader.jsp HTTP/1.1" 200 1519
